Brand,ID,Type,Branch Name,Town,Postcode,Lat,Long,MonOp,MonCls,TueOp,TueCls,WedOp,WedCls,ThuOp,ThuCls,FriOp,FriCls,SatOp,SatCls,SunOp,SunCls
Lloyds Bank,77650300,Physical,Ammanford,Ammanford,SA18 3DB,51.792255,-3.988011,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,,,,
Lloyds Bank,30848500,Physical,Hertford,Hertford,SG14 1DF,51.796296,-0.077748,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,77663200,Physical,Witham,Witham,CM8 1AQ,51.798352,0.638747,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,
Lloyds Bank,30679200,Physical,Brynmawr,Brynmawr,NP23 4XR,51.800179,-3.17631,09:00,14:30,09:00,14:30,09:00,14:30,09:00,14:30,09:00,14:30,,,,
Lloyds Bank,30993100,Physical,Welwyn Garden City,Welwyn Garden City,AL8 6BA,51.80182,-0.205773,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,,,,
Lloyds Bank,30939800,Physical,Haverfordwest,Haverfordwest,SA61 2JX,51.801969,-4.967883,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:00,13:00,,
Lloyds Bank,30957100,Physical,Monmouth,Monmouth,NP25 3XH,51.811379,-2.716427,09:00,14:30,09:00,14:30,09:00,14:30,09:00,14:30,09:00,14:30,,,,
Lloyds Bank,30903800,Physical,Aylesbury,Aylesbury,HP20 1TD,51.81681,-0.812929,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,30808300,Physical,Abergavenny,Abergavenny,NP7 5HB,51.821578,-3.017336,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:00,13:00,,
Lloyds Bank,30676900,Physical,Carmarthen,Carmarthen,SA31 1BW,51.857393,-4.304675,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:30,16:30,09:00,13:00,,
Lloyds Bank,30934800,Physical,Gloucester Eastgate Street,Gloucester,GL1 1NU,51.864905,-2.244935,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,15:00,,
Lloyds Bank,77051200,Physical,Bishops Stortford,Bishop's Stortford,CM23 2LN,51.872118,0.159038,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,15:30,09:00,13:00,,
